Current(A),Voltage(V),Temperature (C)_1,SoC
0.00037841926678083837,3.5564534664154053,31.986295700073242,80.0
0.0001905881945276633,3.556145668029785,31.955856323242188,80.0
0.0001905881945276633,3.555837869644165,31.986295700073242,80.0
0.00037841926678083837,3.555837869644165,31.986295700073242,80.0
0.0001905881945276633,3.555530071258545,31.911924362182617,80.0
0.0001905881945276633,3.555222272872925,32.091094970703125,80.0
0.0001905881945276633,3.554914712905884,31.911924362182617,80.0
0.00037841926678083837,3.5546069145202637,32.0606575012207,80.0
0.0001905881945276633,3.5542991161346436,32.03022003173828,80.0
0.0001905881945276633,3.5542991161346436,31.986295700073242,80.0
0.0001905881945276633,3.5542991161346436,31.986295700073242,80.0
0.0001905881945276633,3.5539913177490234,32.0606575012207,80.0
0.0001905881945276633,3.5539913177490234,31.986295700073242,80.0
0.0001905881945276633,3.5536835193634033,32.0606575012207,80.0
0.0001905881945276633,3.553375720977783,31.911924362182617,80.0
0.0001905881945276633,3.553375720977783,32.0606575012207,80.0
-0.48046913743019104,3.4795095920562744,31.986295700073242,79.99960214296095
-0.48084479570388794,3.47304630279541,31.88148307800293,79.9908903216126
-0.4806569516658783,3.4684295654296875,31.955856323242188,79.98215475498607
-0.4806569516658783,3.464428424835205,31.986295700073242,79.97345294974699
-0.4806569516658783,3.4604275226593018,32.0167350769043,79.96480330547284
-0.4806569516658783,3.4573497772216797,31.986295700073242,79.95614523372805
-0.48084479570388794,3.4536564350128174,31.911924362182617,79.94741654091665
-0.48084479570388794,3.4505786895751953,32.0167350769043,79.93874190621133
-0.4806569516658783,3.4481165409088135,31.911924362182617,79.93009198739902
-0.4806569516658783,3.4450385570526123,31.911924362182617,79.92139865489989
-0.48084479570388794,3.4419608116149902,31.88148307800293,79.9127147523315
-0.4806569516658783,3.4391908645629883,31.986295700073242,79.90403040188693
-0.48084479570388794,3.4367287158966064,31.986295700073242,79.8953358161489
-0.4806569516658783,3.4345743656158447,31.986295700073242,79.88666944812111
-0.48084479570388794,3.4318044185638428,31.942363739013672,79.8779934605106
-0.4806569516658783,3.429649829864502,31.88148307800293,79.86930017346242
-0.48084479570388794,3.42718768119812,31.986295700073242,79.8606156908981
-0.4806569516658783,3.4253411293029785,32.0167350769043,79.8519462965949
-0.4806569516658783,3.4231865406036377,31.942363739013672,79.84327325512609
